==================================================================
  EXPERIMENT CONFIGURATIONS  (16 experiments)
==================================================================
  Shared parameters:
    time_limit_s=60               MIPGap=0.0

  Per-experiment parameters:
  Label               Solver                    weight_makespan  weight_delay  weight_movements  NoRelHeurTime  alpha  weight_topology  n_starts  seed
  ----------------------------------------------------------------------------------------------------------------------------------------------------
  milp_baseline       MILPSolver                0.1              1             10                0              —      —                —         —   
  topology_ms6        TopologyHeuristic         0.1              1             10                0              0.3    1                6         1   
  fas_on_topo         FixedAssignmentScheduler  0.1              1             10                0              —      —                —         —   
  safe_pipeline       FixedAssignmentScheduler  0.1              1             10                0              —      —                —         —   
  milp_baseline_heur  MILPSolver                0.1              1             10                30             —      —                —         —   
  topology_ms6_heur   TopologyHeuristic         0.1              1             10                30             0.3    1                6         1   
  fas_on_topo_heur    FixedAssignmentScheduler  0.1              1             10                30             —      —                —         —   
  safe_pipeline_heur  FixedAssignmentScheduler  0.1              1             10                30             —      —                —         —   
  milp_baseline_wB    MILPSolver                1                10            0.1               0              —      —                —         —   
  topology_ms6_wB     TopologyHeuristic         1                10            0.1               0              0.3    1                6         1   
  fas_on_topo_wB      FixedAssignmentScheduler  1                10            0.1               0              —      —                —         —   
  safe_pipeline_wB    FixedAssignmentScheduler  1                10            0.1               0              —      —                —         —   
  milp_baseline_wC    MILPSolver                10               0.1           1                 0              —      —                —         —   
  topology_ms6_wC     TopologyHeuristic         10               0.1           1                 0              0.3    1                6         1   
  fas_on_topo_wC      FixedAssignmentScheduler  10               0.1           1                 0              —      —                —         —   
  safe_pipeline_wC    FixedAssignmentScheduler  10               0.1           1                 0              —      —                —         —   
==================================================================



==================================================================
  SUMMARY  —  160 ok  /  0 failed  /  160 total
==================================================================
  Instance                         Experiment          Status             Obj   Makespan      Delay   Mov       Gap   Time(s)
  scn_triangle_tight_P5_R5_seed2   milp_baseline_wB    optimal          15.07      15.07       0.00     0     0.00%       1.3
  scn_triangle_tight_P5_R5_seed2   topology_ms6_wB     topology (       15.07      15.07       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed2   fas_on_topo_wB      optimal          15.07      15.07       0.00     0     0.01%       0.0
  scn_triangle_tight_P5_R5_seed2   safe_pipeline_wB    optimal          15.07      15.07       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed2   milp_baseline_wC    optimal         150.71      15.07       0.00     0     0.00%       0.9
  scn_triangle_tight_P5_R5_seed2   topology_ms6_wC     topology (      150.71      15.07       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed2   fas_on_topo_wC      optimal         150.71      15.07       0.00     0     0.00%       0.0
  scn_triangle_tight_P5_R5_seed2   safe_pipeline_wC    topology (      150.71      15.07       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed3   milp_baseline       optimal           1.41      14.11       0.00     0     0.00%       0.4
  scn_triangle_tight_P5_R5_seed3   topology_ms6        topology (        1.41      14.11       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed3   fas_on_topo         optimal           1.41      14.11       0.00     0     0.05%       0.0
  scn_triangle_tight_P5_R5_seed3   safe_pipeline       optimal           1.41      14.11       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed3   milp_baseline_heur  optimal           1.41      14.11       0.00     0     0.00%       0.5
  scn_triangle_tight_P5_R5_seed3   topology_ms6_heur   topology (        1.41      14.11       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed3   fas_on_topo_heur    optimal           1.41      14.11       0.00     0     0.05%       0.0
  scn_triangle_tight_P5_R5_seed3   safe_pipeline_heur  optimal           1.41      14.11       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed3   milp_baseline_wB    optimal          14.11      14.11       0.00     0     0.00%       0.4
  scn_triangle_tight_P5_R5_seed3   topology_ms6_wB     topology (       14.11      14.11       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed3   fas_on_topo_wB      optimal          14.11      14.11       0.00     0     0.02%       0.0
  scn_triangle_tight_P5_R5_seed3   safe_pipeline_wB    topology (       14.11      14.11       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed3   milp_baseline_wC    optimal         141.07      14.11       0.00     0     0.00%       0.5
  scn_triangle_tight_P5_R5_seed3   topology_ms6_wC     topology (      141.07      14.11       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed3   fas_on_topo_wC      optimal         141.07      14.11       0.00     0     0.00%       0.0
  scn_triangle_tight_P5_R5_seed3   safe_pipeline_wC    topology (      141.07      14.11       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed4   milp_baseline       optimal           1.56      15.55       0.00     0     0.00%       0.4
  scn_triangle_tight_P5_R5_seed4   topology_ms6        topology (        1.56      15.55       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed4   fas_on_topo         optimal          13.91      22.49      11.66     0     0.01%       0.0
  scn_triangle_tight_P5_R5_seed4   safe_pipeline       topology (        1.56      15.55       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed4   milp_baseline_heur  optimal           1.56      15.55       0.00     0     0.00%       2.9
  scn_triangle_tight_P5_R5_seed4   topology_ms6_heur   topology (        1.56      15.55       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed4   fas_on_topo_heur    optimal          13.91      22.49      11.66     0     0.01%       0.0
  scn_triangle_tight_P5_R5_seed4   safe_pipeline_heur  topology (        1.56      15.55       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed4   milp_baseline_wB    optimal          15.55      15.55       0.00     0     0.00%       0.5
  scn_triangle_tight_P5_R5_seed4   topology_ms6_wB     topology (       15.55      15.55       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed4   fas_on_topo_wB      optimal         172.77      25.55      14.72     0     0.00%       0.0
  scn_triangle_tight_P5_R5_seed4   safe_pipeline_wB    topology (       15.55      15.55       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed4   milp_baseline_wC    optimal         155.51      15.55       0.00     0     0.00%       0.4
  scn_triangle_tight_P5_R5_seed4   topology_ms6_wC     topology (      155.51      15.55       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed4   fas_on_topo_wC      optimal         255.89      25.41      18.18     0     0.00%       0.0
  scn_triangle_tight_P5_R5_seed4   safe_pipeline_wC    topology (      155.51      15.55       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed5   milp_baseline       optimal           1.51      15.10       0.00     0     0.00%       0.5
  scn_triangle_tight_P5_R5_seed5   topology_ms6        topology (        1.51      15.10       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed5   fas_on_topo         optimal           1.51      15.10       0.00     0     0.02%       0.0
  scn_triangle_tight_P5_R5_seed5   safe_pipeline       optimal           1.51      15.10       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed5   milp_baseline_heur  optimal           1.51      15.10       0.00     0     0.00%       0.6
  scn_triangle_tight_P5_R5_seed5   topology_ms6_heur   topology (        1.51      15.10       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed5   fas_on_topo_heur    optimal           1.51      15.10       0.00     0     0.02%       0.0
  scn_triangle_tight_P5_R5_seed5   safe_pipeline_heur  optimal           1.51      15.10       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed5   milp_baseline_wB    optimal          15.10      15.10       0.00     0     0.00%       1.3
  scn_triangle_tight_P5_R5_seed5   topology_ms6_wB     topology (       15.10      15.10       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed5   fas_on_topo_wB      optimal          15.10      15.10       0.00     0     0.02%       0.0
  scn_triangle_tight_P5_R5_seed5   safe_pipeline_wB    optimal          15.10      15.10       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed5   milp_baseline_wC    optimal         151.03      15.10       0.00     0     0.00%       0.6
  scn_triangle_tight_P5_R5_seed5   topology_ms6_wC     topology (      151.03      15.10       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed5   fas_on_topo_wC      optimal         151.03      15.10       0.00     0     0.00%       0.0
  scn_triangle_tight_P5_R5_seed5   safe_pipeline_wC    topology (      151.03      15.10       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed6   milp_baseline       optimal           1.91      19.13       0.00     0     0.00%       0.6
  scn_triangle_tight_P5_R5_seed6   topology_ms6        topology (        1.91      19.13       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed6   fas_on_topo         optimal           1.91      19.13       0.00     0     0.17%       0.0
  scn_triangle_tight_P5_R5_seed6   safe_pipeline       optimal           1.91      19.13       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed6   milp_baseline_heur  optimal           1.91      19.13       0.00     0     0.00%       0.7
  scn_triangle_tight_P5_R5_seed6   topology_ms6_heur   topology (        1.91      19.13       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed6   fas_on_topo_heur    optimal           1.91      19.13       0.00     0     0.17%       0.0
  scn_triangle_tight_P5_R5_seed6   safe_pipeline_heur  optimal           1.91      19.13       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed6   milp_baseline_wB    optimal          19.13      19.13       0.00     0     0.00%       0.6
  scn_triangle_tight_P5_R5_seed6   topology_ms6_wB     topology (       19.13      19.13       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed6   fas_on_topo_wB      optimal          19.13      19.13       0.00     0     0.02%       0.0
  scn_triangle_tight_P5_R5_seed6   safe_pipeline_wB    optimal          19.13      19.13       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed6   milp_baseline_wC    optimal         191.33      19.13       0.00     0     0.00%       0.9
  scn_triangle_tight_P5_R5_seed6   topology_ms6_wC     topology (      191.33      19.13       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed6   fas_on_topo_wC      optimal         191.33      19.13       0.00     0     0.00%       0.0
  scn_triangle_tight_P5_R5_seed6   safe_pipeline_wC    topology (      191.33      19.13       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed7   milp_baseline       optimal           1.25      12.46       0.00     0     0.00%       0.6
  scn_triangle_tight_P5_R5_seed7   topology_ms6        topology (        1.25      12.46       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed7   fas_on_topo         optimal           1.25      12.46       0.00     0     0.35%       0.0
  scn_triangle_tight_P5_R5_seed7   safe_pipeline       topology (        1.25      12.46       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed7   milp_baseline_heur  optimal           1.25      12.46       0.00     0     0.00%       0.8
  scn_triangle_tight_P5_R5_seed7   topology_ms6_heur   topology (        1.25      12.46       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed7   fas_on_topo_heur    optimal           1.25      12.46       0.00     0     0.35%       0.0
  scn_triangle_tight_P5_R5_seed7   safe_pipeline_heur  topology (        1.25      12.46       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed7   milp_baseline_wB    optimal          12.46      12.46       0.00     0     0.00%       0.7
  scn_triangle_tight_P5_R5_seed7   topology_ms6_wB     topology (       12.46      12.46       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed7   fas_on_topo_wB      optimal          12.46      12.46       0.00     0     0.03%       0.0
  scn_triangle_tight_P5_R5_seed7   safe_pipeline_wB    topology (       12.46      12.46       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed7   milp_baseline_wC    optimal         124.56      12.46       0.00     0     0.00%       0.6
  scn_triangle_tight_P5_R5_seed7   topology_ms6_wC     topology (      124.56      12.46       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed7   fas_on_topo_wC      optimal         124.56      12.46       0.00     0     0.00%       0.0
  scn_triangle_tight_P5_R5_seed7   safe_pipeline_wC    topology (      124.56      12.46       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed8   milp_baseline       optimal           1.54      15.37       0.00     0     0.00%       1.5
  scn_triangle_tight_P5_R5_seed8   topology_ms6        topology (        1.54      15.37       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed8   fas_on_topo         optimal           1.54      15.37       0.00     0     0.19%       0.0
  scn_triangle_tight_P5_R5_seed8   safe_pipeline       topology (        1.54      15.37       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed8   milp_baseline_heur  optimal           1.54      15.37       0.00     0     0.00%       0.6
  scn_triangle_tight_P5_R5_seed8   topology_ms6_heur   topology (        1.54      15.37       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed8   fas_on_topo_heur    optimal           1.54      15.37       0.00     0     0.19%       0.0
  scn_triangle_tight_P5_R5_seed8   safe_pipeline_heur  topology (        1.54      15.37       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed8   milp_baseline_wB    optimal          15.37      15.37       0.00     0     0.00%       0.5
  scn_triangle_tight_P5_R5_seed8   topology_ms6_wB     topology (       15.37      15.37       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed8   fas_on_topo_wB      optimal          15.37      15.37       0.00     0     0.00%       0.0
  scn_triangle_tight_P5_R5_seed8   safe_pipeline_wB    topology (       15.37      15.37       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed8   milp_baseline_wC    optimal         153.70      15.37       0.00     0     0.00%       0.5
  scn_triangle_tight_P5_R5_seed8   topology_ms6_wC     topology (      153.70      15.37       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed8   fas_on_topo_wC      optimal         153.70      15.37       0.00     0     0.00%       0.0
  scn_triangle_tight_P5_R5_seed8   safe_pipeline_wC    topology (      153.70      15.37       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed9   milp_baseline       optimal           1.74      17.40       0.00     0     0.00%       0.6
  scn_triangle_tight_P5_R5_seed9   topology_ms6        topology (        1.74      17.40       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed9   fas_on_topo         optimal           1.74      17.40       0.00     0     0.02%       0.0
  scn_triangle_tight_P5_R5_seed9   safe_pipeline       topology (        1.74      17.40       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed9   milp_baseline_heur  optimal           1.74      17.40       0.00     0     0.00%       0.9
  scn_triangle_tight_P5_R5_seed9   topology_ms6_heur   topology (        1.74      17.40       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed9   fas_on_topo_heur    optimal           1.74      17.40       0.00     0     0.02%       0.0
  scn_triangle_tight_P5_R5_seed9   safe_pipeline_heur  topology (        1.74      17.40       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed9   milp_baseline_wB    optimal          17.40      17.40       0.00     0     0.00%       0.6
  scn_triangle_tight_P5_R5_seed9   topology_ms6_wB     topology (       17.40      17.40       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed9   fas_on_topo_wB      optimal          17.40      17.40       0.00     0     0.02%       0.0
  scn_triangle_tight_P5_R5_seed9   safe_pipeline_wB    topology (       17.40      17.40       0.00     0         -       0.0
  scn_triangle_tight_P5_R5_seed9   milp_baseline_wC    optimal         173.97      17.40       0.00     0     0.00%       0.5
  scn_triangle_tight_P5_R5_seed9   topology_ms6_wC     topology (      173.97      17.40       0.00     0         -      60.0
  scn_triangle_tight_P5_R5_seed9   fas_on_topo_wC      optimal         173.97      17.40       0.00     0     0.00%       0.0
  scn_triangle_tight_P5_R5_seed9   safe_pipeline_wC    topology (      173.97      17.40       0.00     0         -       0.0
==================================================================
